Files added: 0

Files removed: 0

File pairs compared: 152
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/pll_reset.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/pll_reset.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/iodrp_controller.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/iodrp_controller.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_fix/change_fifo/change_fifo.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_fix/change_fifo/change_fifo.gise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/u3_transfer/urb_mult/urb_mult.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/u3_transfer/urb_mult/urb_mult.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/io_channel/io_channel.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/io_channel/io_channel.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/pixelformat_sel.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/pixelformat_sel.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w97d32.ngc | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w97d32.ngc ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/data_align.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/data_align.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3v_format/adder/u3v_adder_47.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3v_format/adder/u3v_adder_47.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/clock_reset/dcm_pix_12bit.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/clock_reset/dcm_pix_12bit.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/clock_reset/dcm45.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/clock_reset/dcm45.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.gise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/sync_buffer.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/sync_buffer.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/clock_reset/reset_sync.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/clock_reset/reset_sync.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/u3_interface.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/u3_interface.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/mcb_raw_wrapper.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/mcb_raw_wrapper.v ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w65d256_pf180_pe6/_xmsgs/pn_parser.xmsgs | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w65d256_pf180_pe6/_xmsgs/pn_parser.xmsgs ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/ctrl_channel.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/ctrl_channel.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3v_format/adder/coregen.cgp | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3v_format/adder/coregen.cgp ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/packet_switch.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/packet_switch.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w41d32.ngc | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w41d32.ngc ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/u3_transfer/u3_transfer.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/u3_transfer/u3_transfer.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/frame_buf_reg_list.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/frame_buf_reg_list.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w49d32.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w49d32.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/dna.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/dna.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w25d32.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w25d32.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_fix/change_fifo/change_fifo.xise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_fix/change_fifo/change_fifo.xise ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/_xmsgs/pn_parser.xmsgs | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/_xmsgs/pn_parser.xmsgs ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/raw_wb/wb_mult/coregen.cgp | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/raw_wb/wb_mult/coregen.cgp ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/pix_reg_list.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/pix_reg_list.v ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3v_format/adder/_xmsgs/pn_parser.xmsgs | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3v_format/adder/_xmsgs/pn_parser.xmsgs ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w21d32.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w21d32.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/frame_buffer.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/frame_buffer.v ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/fix_reg_list.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/fix_reg_list.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w81d32.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w81d32.gise ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/u3_transfer/urb_mult/_xmsgs/pn_parser.xmsgs | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/u3_transfer/urb_mult/_xmsgs/pn_parser.xmsgs ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/memc_wrapper.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/memc_wrapper.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_if_iob.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_if_iob.v ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/mer_sonyimx_u3x.ucf | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/mer_sonyimx_u3x.ucf ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3v_format/adder/u3v_adder_47.ngc | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3v_format/adder/u3v_adder_47.ngc ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/raw_wb/wb_mult/wb_mult_a17b17p34.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/raw_wb/wb_mult/wb_mult_a17b17p34.gise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core.xise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core.xise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sonyimx_if/word_aligner_top.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sonyimx_if/word_aligner_top.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/sensor_reg_list.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/sensor_reg_list.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/wrap_wr_logic.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/wrap_wr_logic.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w41d32.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w41d32.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/osc_bufg_reg_list.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/osc_bufg_reg_list.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/clock_reset/infrastructure.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/clock_reset/infrastructure.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/u3_transfer/urb_mult/urb_mult.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/u3_transfer/urb_mult/urb_mult.gise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w97d32.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w97d32.gise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/io_channel/line_mode_and_inverter.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/io_channel/line_mode_and_inverter.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/mcb_ui_top.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/mcb_ui_top.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w21d32.gise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w21d32.gise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/width_cut.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/width_cut.v ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_fix/change_fifo/_xmsgs/pn_parser.xmsgs | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_fix/change_fifo/_xmsgs/pn_parser.xmsgs ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sonyimx_if/timing_decoder.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sonyimx_if/timing_decoder.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.xise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w64d256_pf180_pe6/fifo_w64d256_pf180_pe6.xise ; Verilog-SystemVerilog
